k,Recall@6,MAP@6
10,0.12931182787323137,0.07829295289397628
20,0.2139708773847701,0.15602783532099213
30,0.2412693224504797,0.18334845922994328
40,0.2564942672867373,0.2000109545220262
50,0.2714253470172192,0.20751787352745293
60,0.2767454413124211,0.22365186866114292
70,0.28537059004283305,0.2258255909422662
80,0.28450685936537684,0.22433678974313143
90,0.28400638407336387,0.21939657357256256
100,0.289708977496163,0.22439625771111868
110,0.293135528349567,0.23312455367198318
120,0.3064063562745531,0.23862671996792728
130,0.30676975260866224,0.23913869903975385
140,0.3070463641472751,0.24328781823498527
150,0.3091336660143713,0.24215167479048183
160,0.3129005899772492,0.24373159214447837
170,0.31095092945650576,0.24464712476435604
180,0.3080617859203034,0.240897379000558
190,0.3073914938304035,0.24157866345906984
200,0.30714362260214007,0.24205304275430226
210,0.30637186094532093,0.24135152230264362
220,0.305199164895432,0.24060243773149934
230,0.3022128425757763,0.23817019784599147
240,0.29525456011749385,0.23554236852160532
250,0.2936177154806492,0.23212212348356173
