query_id,nDCG
1,0.6454
2,0.3828
3,0.9478
4,0.9442
5,0.4852
6,0.2989
7,0.7609
8,0.5161
9,0.0000
10,0.5141
11,0.6865
12,0.3848
13,0.6320
14,0.0000
15,0.3274
16,0.5612
17,0.7871
18,0.3744
19,0.0000
20,0.6157
21,0.8051
22,0.0000
23,0.6247
24,0.9857
25,0.5055
26,0.1257
27,0.3736
28,0.0000
29,0.5437
30,0.1187
31,0.9596
32,0.2685
33,0.8921
34,0.5157
35,0.0000
36,0.5959
37,0.1893
38,0.4154
39,0.3172
40,0.4380
41,0.6791
42,0.8339
43,0.5407
44,0.0000
45,0.4684
46,0.3937
47,0.4988
48,0.6100
49,0.1088
50,0.0000
51,0.5115
52,0.3580
53,0.1742
54,0.7198
55,0.1987
56,0.6854
57,0.3791
58,0.0347
59,0.1741
60,0.1429
61,0.6986
62,0.0000
63,0.0000
64,0.0000
65,0.7507
66,0.1671
67,0.5170
68,0.7372
69,0.0000
70,0.1949
71,0.3375
72,0.0522
73,0.6436
74,0.0000
75,0.0370
76,0.0742
77,0.8218
78,0.3757
79,0.3833
80,0.4358
81,0.4032
82,0.7530
83,0.0000
84,0.1445
85,0.0000
86,0.6777
87,0.0000
88,0.7119
89,0.2768
90,0.0000
91,0.3667
92,0.3590
93,1.0000
94,0.2096
95,0.0401
96,0.4005
97,0.1893
98,0.7112
99,0.7703
100,0.6856
101,0.7073
102,0.0639
103,0.8155
104,0.2410
105,0.9770
106,0.4208
107,0.7254
108,0.5175
109,0.1334
110,0.4459
111,0.7275
112,0.8987
113,0.0000
114,0.5365
115,0.1836
116,0.0521
117,0.0000
118,0.1748
119,0.3418
120,0.7735
121,0.5513
122,0.4419
123,0.8179
124,0.5913
125,0.0582
126,0.3901
127,0.0518
128,0.3512
129,0.5306
130,0.9563
131,0.4170
132,0.3325
133,0.0701
134,0.5324
135,0.2992
136,0.8451
137,0.8425
138,0.3487
139,0.1648
140,0.7608
141,0.2519
142,0.3869
143,0.6508
144,0.6829
145,0.4231
146,0.9395
147,0.7661
148,0.7814
149,0.2321
150,0.6392
151,0.0000
152,0.0000
153,0.6865
154,0.5882
155,0.4269
156,0.4482
157,0.0555
158,0.5795
159,0.6526
160,0.7911
161,0.2766
162,0.2063
163,0.6988
164,0.0347
165,0.8180
166,0.3970
167,0.0000
168,0.6714
169,0.7316
170,0.7352
171,0.7671
172,0.7690
173,1.0000
174,0.1088
175,0.6288
176,0.4233
177,0.8036
178,0.5406
179,0.0000
180,0.7648
181,0.0336
182,0.9787
183,0.1192
184,0.8619
185,0.5349
186,0.1985
187,0.8267
188,0.6140
189,0.5553
190,0.0806
191,0.1729
192,0.9758
193,0.5540
194,0.5104
195,0.7620
196,0.0371
197,0.8671
198,0.2408
199,0.0498
200,0.8293
201,0.3699
202,0.6467
203,0.4508
204,0.2405
205,0.8500
206,0.8279
207,0.0000
208,0.9005
209,0.0926
210,0.5337
211,0.0710
212,0.6789
213,0.6792
214,0.8188
215,0.9299
216,0.0000
217,0.0226
218,0.0225
219,0.0000
220,0.0842
221,0.3108
222,0.4905
223,0.3609
224,0.0000
225,0.0094
